Skipping 'header.c'
Skipping 'header.h'
In file: 'originalLoops/s10_1024_add_0.c' | replacing: '#pragma clang loop vectorize_width(8) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_add_1.c' | replacing: '#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_add_2.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_add_3.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_add_4.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_mul_0.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_mul_1.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_mul_2.c' | replacing: '#pragma clang loop vectorize_width(8) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_mul_3.c' | replacing: '#pragma clang loop vectorize_width(8) interleave_count(2)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_mul_4.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(2)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_sub_0.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(2)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_sub_1.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_sub_2.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_sub_3.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_1024_sub_4.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_add_0.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_add_1.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_add_2.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_add_3.c' | replacing: '#pragma clang loop vectorize_width(1) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_add_4.c' | replacing: '#pragma clang loop vectorize_width(1) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_mul_0.c' | replacing: '#pragma clang loop vectorize_width(64) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_mul_1.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_mul_2.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_mul_3.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(2)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_mul_4.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_sub_0.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_sub_1.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_sub_2.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_sub_3.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_128_sub_4.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_add_0.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_add_1.c' | replacing: '#pragma clang loop vectorize_width(8) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_add_2.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_add_3.c' | replacing: '#pragma clang loop vectorize_width(2) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_add_4.c' | replacing: '#pragma clang loop vectorize_width(1) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_mul_0.c' | replacing: '#pragma clang loop vectorize_width(64) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_mul_1.c' | replacing: '#pragma clang loop vectorize_width(4) interleave_count(2)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_mul_2.c' | replacing: '#pragma clang loop vectorize_width(8) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_mul_3.c' | replacing: '#pragma clang loop vectorize_width(1) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_mul_4.c' | replacing: '#pragma clang loop vectorize_width(1) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_sub_0.c' | replacing: '#pragma clang loop vectorize_width(16) interleave_count(8)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_sub_1.c' | replacing: '#pragma clang loop vectorize_width(64) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_sub_2.c' | replacing: '#pragma clang loop vectorize_width(32) interleave_count(1)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_sub_3.c' | replacing: '#pragma clang loop vectorize_width(2) interleave_count(4)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_16384_sub_4.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_add_0.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_add_1.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_add_2.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_add_3.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_add_4.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_mul_0.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
In file: 'originalLoops/s10_2048_mul_1.c' | replacing: '//#pragma clang loop vectorize_width(64) interleave_count(16)' with: '#pragma unroll(512)'
